market_id,question,yes_prob,volume,liquidity,affects_pharma_supply,source_countries,disruption_level,reasoning,evaluated_at
2309478,Will the highest temperature in Houston be between 74-75°F on May 22?,0.009,999.965618,5071.13028,FALSE,,NO DISRUPTION,"Weather conditions in Houston (e.g., temperature fluctuations) are unrelated to pharmaceutical supply chain disruptions, manufacturing, or export controls.",2026-05-21T15:08:58Z
2297327,Faurel vs. Clarke: Set 1 Games O/U 9.5,0.9995,99.99,5608.36606,FALSE,,NO DISRUPTION,"The tennis match between Thomas Faurel and Jay Clarke at Roland Garros is a sports event unrelated to pharmaceutical manufacturing, sourcing, or logistics.",2026-05-20T15:09:16Z
907790,Will Ralph Rebandt win the 2026 Michigan Governor Republican primary election?,0.0015,999.8882,3075.72436,FALSE,,NO DISRUPTION,"The 2026 Michigan Governor Republican primary election is unrelated to pharmaceutical supply chain dynamics, manufacturing, sourcing, or export controls.",2026-05-20T15:13:49Z
2300561,Will the match end in a draw?,0.415,9.9978,138.0493,FALSE,,NO DISRUPTION,"The event is unrelated to pharmaceutical supply chains, as it pertains to a sports match with no geopolitical, manufacturing, or trade implications for API/generics production or logistics.",2026-05-21T14:22:03Z
2304231,Will the Left Party (V) win the second most seats in the 2026 Swedish parliamentary election?,0.03,99.97,10348.56628,FALSE,,NO DISRUPTION,"Swedish parliamentary elections are domestic political events with no direct impact on global pharmaceutical manufacturing, sourcing, or export controls.",2026-05-20T16:45:29Z
2263172,Games Total: O/U 2.5,0.335,9.995453,5810.8519,FALSE,,NO DISRUPTION,"The LoL match between HANJIN BRION Challengers and T1 Academy is a sports event in South Korea, unrelated to pharmaceutical manufacturing, sourcing, or logistics.",2026-05-21T14:22:09Z
2146378,Will the match end in a draw?,0.26,9.995257,6.2995,FALSE,,NO DISRUPTION,"The event is unrelated to pharmaceutical supply chains, as it pertains to a sports match with no geopolitical, manufacturing, or trade implications for API/generics production or logistics.",2026-05-21T14:22:16Z
2146372,Will the match end in a draw?,0.325,9.995257,8.4995,FALSE,,NO DISRUPTION,"The event is unrelated to pharmaceutical supply chains, as it pertains to a sports match with no geopolitical, trade, or manufacturing implications for APIs, generics, or raw materials.",2026-05-21T14:22:22Z
1287614,Abstract FDV above $200M one day after launch?,0.77,99941.02371200004,7856.1658,FALSE,,NO DISRUPTION,"Abstract's governance token launch is unrelated to pharmaceutical supply chain operations, manufacturing, sourcing, or logistics.",2026-05-20T15:09:55Z
1163699,Clarity Act signed into law in 2026?,0.575,999285.116525995,28730.4634,FALSE,,NO DISRUPTION,"The Digital Asset Market Clarity Act (H.R.3633) focuses on cryptocurrency regulation and does not directly impact pharmaceutical manufacturing, raw material sourcing, or logistics.",2026-05-20T15:15:36Z
2074167,"Will Robinhood Markets, Inc. (HOOD) hit (LOW) $60 in May?",0.041,999.16526,2290.7718,FALSE,,NO DISRUPTION,"Robinhood Markets, Inc. (HOOD) is a fintech company with no direct or indirect involvement in pharmaceutical manufacturing, raw material sourcing, or logistics.",2026-05-21T14:22:33Z
1920386,Map 2: Odd/Even Total Kills?,0.5,9.99,0,FALSE,,NO DISRUPTION,"The event is unrelated to pharmaceutical supply chains, as it pertains to an esports match (likely *Valorant* or similar) with no geopolitical, trade, or manufacturing implications.",2026-05-20T15:10:38Z
2299416,Will the highest temperature in Miami be between 82-83°F on May 21?,5e-4,998.642811,87849.22315,FALSE,,NO DISRUPTION,"Weather conditions in Miami (e.g., temperature fluctuations) do not directly impact pharmaceutical supply chains, manufacturing, sourcing, or export controls.",2026-05-21T15:11:10Z
2277801,"Will ""Habibti"" - Drake debut week album sales be between 140k and 160k?",0.012,9986.137376,2890.72779,FALSE,,NO DISRUPTION,"Drake's album release is an entertainment event unrelated to pharmaceutical manufacturing, sourcing, or logistics.",2026-05-21T15:51:15Z
2296557,ITF Kayseri: Haydar Cem Gokpinar vs Ammar Faleh Alhogbani,0.153,99.843702,51.23285,FALSE,,NO DISRUPTION,"The ITF Men Kayseri tennis match between Haydar Cem Gokpinar and Ammar Faleh Alhogbani is a sports event unrelated to pharmaceutical manufacturing, raw material sourcing, or logistics.",2026-05-21T14:22:45Z
2309310,Will the highest temperature in Tokyo be 18°C on May 22?,0.185,998.391338,994.1073,FALSE,,NO DISRUPTION,"Tokyo's weather conditions (e.g., temperature fluctuations) are unrelated to pharmaceutical supply chain operations, manufacturing, or trade disruptions.",2026-05-21T15:51:20Z
1349151,Will D.C. United win the 2026 MLS Cup?,0.0105,9980.820877,23018.66868,FALSE,,NO DISRUPTION,"The 2026 MLS Cup is a sports event unrelated to pharmaceutical manufacturing, raw material sourcing, or logistics, with no direct impact on global API/generics supply chains.",2026-05-20T15:12:25Z
1186445,Will Monero hit $1000 in 2026?,0.16,99792.151905,6028.7987,FALSE,,NO DISRUPTION,"Monero (XMR) price volatility is unrelated to pharmaceutical supply chain dynamics, manufacturing, or export controls.",2026-05-20T15:13:54Z
2054249,Will Jean Castex be on the ballot for the 2027 French presidential election?,0.0955,997.808117,4893.76243,FALSE,,NO DISRUPTION,"French presidential elections are domestic political events with no direct impact on global pharmaceutical manufacturing, sourcing, or export controls.",2026-05-20T15:11:56Z
2271817,Will NVIDIA (NVDA) hit (LOW) $200 Week of May 18 2026?,0.03,997.579139,4291.1788,FALSE,,NO DISRUPTION,"NVIDIA's stock price volatility is unrelated to pharmaceutical supply chain dynamics, manufacturing, raw material sourcing, or export controls.",2026-05-21T14:22:57Z
2242380,Will annual inflation be 3.7% in May?,0.0035,9975.325420999994,9483.71448,FALSE,,NO DISRUPTION,"Inflation rates are macroeconomic indicators unrelated to direct pharmaceutical supply chain disruptions, manufacturing, or export controls.",2026-05-21T14:23:02Z
1281093,Will the Democratic Party win the CA-24 House seat?,0.935,9974.012221,10289.9345,FALSE,,NO DISRUPTION,"The CA-24 House seat election in California is unrelated to pharmaceutical manufacturing, raw material sourcing, or global API/generics trade dynamics.",2026-05-20T15:13:41Z
2309198,Will the highest temperature in New York City be between 66-67°F on May 22?,0.295,997.2028960000004,1485.0543,FALSE,,NO DISRUPTION,"Weather conditions in New York City, including temperature fluctuations, do not directly impact pharmaceutical supply chains, manufacturing, or global sourcing/export logistics.",2026-05-21T14:33:09Z
704289,Will Liban Mohamed be the Democratic nominee for UT-01?,0.044,997.130329,3474.08422,FALSE,,NO DISRUPTION,"The Democratic primary for UT-01 congressional district is an internal U.S. political election with no direct implications for pharmaceutical manufacturing, sourcing, or global supply chains.",2026-05-20T15:15:30Z
2303152,Canadiens vs. Hurricanes: O/U 6.5,0.405,997.001886,51264.1613,FALSE,,NO DISRUPTION,"The NHL game between Canadiens and Hurricanes is a sports event unrelated to pharmaceutical manufacturing, sourcing, or logistics.",2026-05-21T14:27:34Z
2310904,Besiktas vs. Galatasaray,0.74,99.7,224.4624,FALSE,,NO DISRUPTION,"The Turkey BSL football match is a sports event unrelated to pharmaceutical manufacturing, sourcing, or logistics in key pharma nations.",2026-05-21T14:23:13Z
